key,nbre_articles,inflation,disinflation,inflationary,deflation,prices,cost,wages,currency,money,devaluation,recession,stagflation,economy,market,increase,decrease,cpi,price level,wage growth,economic downturn,monetary policy,cost increase,cost reduction,market prices,inflation rate,interest rates,price stability,consumption basket,purchasing power,consumer price index,rise in prices,fall in prices,cost of living,inflation expectations,money supply growth,central bank policy,economic price adjustments
1919-01,228632,3,0,0,3,5359,8523,2040,292,9151,0,49,0,531,5859,6747,921,138,50,0,0,0,2,1,79,0,36,2,0,54,0,11,9,396,0,0,0,0
1919-02,195555,0,0,0,4,4671,7521,1946,270,8202,2,59,0,468,4970,5128,620,94,45,0,0,0,0,1,71,0,31,0,0,43,0,10,7,339,0,0,0,0
1919-03,234087,3,0,0,3,5284,8410,1969,408,9873,0,77,0,522,5786,5867,704,120,60,0,0,0,4,3,83,0,47,0,0,48,0,10,2,362,0,0,0,0
1919-04,245278,1,0,0,0,5773,8771,2016,301,9725,0,127,0,527,6031,6198,689,100,77,0,0,0,3,0,119,0,39,1,0,55,0,5,8,267,0,0,0,0
1919-05,243206,3,0,0,1,5014,8401,1567,269,9259,0,80,0,506,5768,5621,598,90,61,0,0,0,0,0,55,0,22,0,0,54,0,10,4,275,0,0,0,0
1919-06,211765,3,0,1,1,4286,7090,1389,260,8235,0,61,0,470,5012,5214,515,98,36,0,0,0,0,0,55,0,17,0,0,47,0,15,5,303,0,0,0,0
1919-07,220751,1,0,0,1,5767,8505,1928,350,8696,0,46,0,568,6026,6249,750,56,57,0,0,0,0,0,99,0,6,0,0,67,0,16,8,866,0,0,0,0
1919-08,232164,3,0,0,7,9411,14471,4011,431,9766,0,57,0,628,7559,8922,965,80,173,0,0,0,1,4,162,0,21,0,0,99,0,22,5,4289,0,0,0,0
1919-09,222236,3,0,0,1,5950,9859,2738,353,8310,0,55,0,571,5732,6852,679,96,86,0,0,0,2,0,92,0,18,0,0,72,0,8,9,1914,0,0,0,0
1919-10,255085,6,0,0,1,6348,10868,2820,307,10227,0,60,0,703,6321,7529,761,125,43,0,0,0,1,0,116,0,19,0,0,59,0,15,4,1399,0,0,0,0
1919-11,220051,0,0,0,3,5711,9134,2303,268,8758,0,51,0,553,5323,7233,675,95,31,0,0,0,3,0,82,0,14,0,0,51,0,15,1,1127,0,0,0,0
1919-12,253338,4,0,0,3,7545,10603,2708,455,10323,0,107,0,895,6623,8356,843,122,34,0,0,0,1,0,94,0,38,0,0,89,0,13,3,1572,0,0,0,0
1920-01,278384,3,0,0,30,7707,11977,2266,560,11265,0,90,0,1007,7151,9514,1274,181,45,0,0,0,2,2,106,0,69,0,0,101,0,36,22,1382,0,0,0,0
1920-02,242198,5,0,0,31,6537,10758,2130,524,9717,0,77,0,820,6455,7736,1008,138,40,0,0,0,1,1,149,0,44,0,0,51,0,6,15,1231,0,0,0,0
1920-03,253413,3,0,0,18,6495,11014,2237,422,10482,0,60,0,783,6454,8398,842,88,18,0,0,0,2,0,119,0,37,0,0,68,0,18,7,1125,0,0,0,0
1920-04,240414,5,0,0,23,6560,10675,2181,309,9589,0,116,0,737,5980,8423,792,105,24,0,0,0,3,0,94,0,56,0,0,63,0,26,5,1115,0,0,0,0
1920-05,228091,11,0,1,98,7105,10781,1994,542,9754,0,95,0,731,6193,7813,984,99,64,0,0,0,1,0,99,0,64,0,0,46,0,34,12,1304,0,0,0,0
1920-06,230256,14,0,0,46,5506,9029,1480,355,9177,0,82,0,624,5565,6924,852,112,33,0,0,0,1,0,93,0,66,0,0,33,0,8,6,942,0,0,0,0
1920-07,223690,8,0,0,41,4963,8418,1562,424,8675,0,56,0,646,5578,7306,973,115,28,0,0,0,0,0,76,0,40,0,0,58,0,10,4,775,0,0,0,0
1920-08,211265,7,0,0,13,5030,8183,1461,325,8373,0,71,0,604,5597,7500,847,70,52,0,0,0,3,0,63,0,54,0,0,37,0,19,7,591,0,0,0,0
1920-09,208982,3,0,0,18,5228,7467,1373,296,8619,0,92,0,479,5785,6433,947,99,58,0,0,0,2,0,55,0,63,3,0,53,0,6,8,520,0,0,0,0
1920-10,224885,2,0,1,73,7080,9091,1542,449,9208,0,109,0,605,7114,6832,1010,110,63,0,0,0,1,0,100,0,91,2,0,68,0,11,15,554,0,0,0,0
1920-11,215622,2,0,0,73,6717,8615,1390,456,8811,0,122,0,540,6646,5986,1012,116,80,0,0,0,0,1,111,0,34,1,0,80,0,7,28,386,0,0,0,0
1920-12,228590,0,0,0,91,7774,9984,1766,455,10571,1,135,0,852,7679,6858,1151,120,62,0,0,0,0,2,120,0,66,1,0,103,0,4,21,465,0,0,0,0
1921-01,235519,14,0,0,72,7367,10205,1962,493,11423,0,99,0,1303,7907,7254,1343,127,111,0,0,0,1,2,112,0,68,0,0,100,0,10,17,346,0,0,0,0
1921-02,231032,4,0,1,38,6003,9930,2192,557,10705,0,96,0,881,6559,6555,1094,119,60,0,0,0,1,0,90,0,39,3,0,76,0,7,20,302,0,0,0,0
1921-03,269958,17,0,1,51,6442,11458,2961,489,11113,3,142,0,874,7694,6741,1315,148,55,0,0,0,0,4,82,0,43,4,0,72,0,8,12,383,0,0,0,0
1921-04,258688,4,0,0,47,6336,10746,3024,569,10439,0,121,0,829,7560,6141,1250,122,53,0,0,0,4,1,90,0,50,0,0,118,0,14,11,492,0,0,0,0
1921-05,260830,4,0,0,54,6127,10453,2733,505,10170,0,116,0,926,7287,6194,1242,118,100,0,0,0,2,0,52,0,43,4,0,76,0,7,15,353,0,0,0,0
1921-06,264467,5,0,0,59,5833,10007,2186,370,10888,0,146,0,971,7415,6179,1227,120,43,0,0,0,2,0,83,0,61,2,0,74,0,5,20,332,0,0,0,0
1921-07,236162,7,0,2,64,5398,9530,1654,507,9945,0,90,0,1022,7305,5644,1353,85,41,0,0,0,0,0,73,0,49,0,0,63,0,4,9,227,0,0,0,0
1921-08,244446,5,1,0,77,6035,9458,1581,610,10066,1,101,0,967,7574,6434,1604,110,57,0,0,1,1,1,61,0,95,1,0,99,0,10,9,228,0,0,0,0
1921-09,249503,2,0,0,47,5978,9242,1819,379,10004,0,74,0,730,7420,6284,1195,142,77,0,0,0,0,0,66,0,41,0,0,102,0,18,7,296,0,0,0,0
1921-10,257727,2,0,0,50,6375,10253,2735,459,10127,2,87,0,657,7259,6606,1265,118,56,0,0,0,3,1,91,0,57,0,0,115,0,29,9,333,0,0,0,0
1921-11,241111,2,0,0,25,5211,9347,1701,379,9396,1,91,0,617,6368,5422,1094,121,36,0,0,1,1,1,48,0,62,1,0,64,0,12,6,208,0,0,0,0
1921-12,257135,4,0,0,47,6605,9420,1609,490,11030,2,146,0,840,7378,6110,1248,123,39,0,0,0,10,0,92,0,42,0,0,130,0,16,4,197,0,0,0,0
1922-01,243949,6,0,4,91,6363,9882,1770,681,11000,0,106,0,903,7502,6819,1458,125,68,0,0,0,0,3,59,0,96,1,0,138,0,9,17,233,0,0,0,0
1922-02,237407,6,0,0,61,5732,9826,1784,496,11045,0,72,0,888,7106,6332,1177,132,63,0,0,0,4,3,59,0,74,0,0,124,0,11,13,212,0,0,0,0
1922-03,268401,6,0,1,55,5872,10997,1999,659,11815,2,100,0,1033,7601,6859,1249,110,54,0,0,1,2,0,54,0,59,3,0,92,0,24,7,256,0,0,0,0
1922-04,261068,2,0,0,32,5661,9641,1733,612,10502,1,103,0,938,7100,6375,1069,115,41,0,0,0,0,2,46,0,49,1,0,80,0,16,2,227,0,0,0,0
1922-05,269260,5,0,0,42,6043,9949,1413,572,10646,0,80,0,775,7527,6680,1150,108,63,0,0,0,2,3,57,0,39,0,0,110,0,14,4,275,0,0,0,0
1922-06,272247,1,0,0,26,6035,9841,2085,436,10381,2,128,0,747,7590,6299,1088,93,51,0,0,0,0,0,60,0,65,0,0,82,0,4,5,294,0,0,0,0
1922-07,233381,11,0,0,30,5106,8335,2006,485,8444,1,72,0,658,5983,5617,1011,64,71,0,0,0,1,0,39,0,33,0,0,69,0,14,6,210,0,0,0,0
1922-08,250036,10,0,1,40,5734,8939,2058,504,8893,2,77,0,630,6797,6411,1032,80,60,0,0,0,0,0,42,0,23,0,0,67,0,12,1,236,0,0,0,0
1922-09,231643,5,0,0,35,5093,8404,1583,435,8327,1,80,0,599,5820,5895,948,107,57,0,0,0,0,0,42,0,47,2,0,75,0,13,3,205,0,0,0,0
