key,nbre_articles,inflation,disinflation,inflationary,deflation,prices,cost,wages,currency,money,devaluation,recession,stagflation,economy,market,increase,decrease,cpi,price level,wage growth,economic downturn,monetary policy,cost increase,cost reduction,market prices,inflation rate,interest rates,price stability,consumption basket,purchasing power,consumer price index,rise in prices,fall in prices,cost of living,inflation expectations,money supply growth,central bank policy,economic price adjustments
1930-01,37954,0,0,0,2,529,1359,96,27,1240,0,11,0,77,1044,987,159,24,11,0,0,0,0,0,15,0,12,0,0,8,0,0,0,11,0,0,0,0
1930-02,35029,0,0,0,3,429,1217,91,40,1170,0,13,0,85,831,711,92,38,5,0,0,0,0,0,11,0,3,0,0,7,0,0,1,7,0,0,0,0
1930-03,41033,0,0,0,1,551,1443,137,30,1513,0,29,0,93,991,826,125,16,13,0,0,0,1,0,13,0,15,0,0,3,0,0,0,7,0,0,0,0
1930-04,38407,1,0,0,3,520,1419,99,28,1304,0,24,0,104,907,888,132,12,8,0,0,0,0,0,12,0,4,1,0,9,0,2,0,4,0,0,0,0
1930-05,39827,0,0,0,3,634,1358,94,30,1189,0,23,0,94,1032,917,170,16,12,0,0,0,0,0,6,0,7,0,0,5,0,0,0,13,0,0,0,0
1930-06,44111,0,0,0,3,796,1655,82,49,1412,0,30,0,98,1229,1045,191,6,17,0,0,0,1,0,7,0,9,0,0,15,0,0,1,13,0,0,0,0
1930-07,40374,0,0,0,7,823,1267,87,35,1507,0,48,0,81,1029,983,203,8,19,0,0,0,0,1,2,0,6,0,0,15,0,1,0,14,0,0,0,0
1930-08,40223,0,0,0,12,798,1321,129,31,1466,0,36,0,131,1088,928,214,9,22,0,0,0,1,0,6,0,5,0,0,21,0,0,0,11,0,0,1,0
1930-09,40325,0,0,0,10,789,1514,99,36,1391,0,37,0,96,1061,899,154,7,15,0,0,0,0,0,3,0,13,0,0,21,0,0,0,10,0,0,0,0
1930-10,44699,0,0,0,12,861,1472,138,40,1591,0,39,0,125,1240,930,201,14,31,0,0,1,0,0,6,0,12,0,0,24,0,1,4,7,0,0,0,0
1930-11,39701,1,0,0,11,719,1280,95,49,1396,0,48,0,90,983,877,196,13,15,0,0,0,0,0,4,0,7,1,0,21,0,0,0,14,0,0,0,0
1930-12,51012,2,0,0,8,1039,1925,193,65,2211,0,55,0,148,1246,1358,298,24,31,0,0,0,1,0,5,0,11,3,0,37,0,4,1,18,0,0,0,0
1931-01,35822,3,0,1,13,637,1340,109,45,1509,0,17,0,104,749,999,168,8,13,0,0,1,0,0,6,0,10,0,0,35,0,2,1,16,0,0,0,0
1931-02,33422,2,0,2,2,591,1197,89,56,1291,0,19,0,97,726,933,146,6,13,0,0,0,0,0,3,0,7,0,0,10,0,2,0,3,0,0,0,0
1931-03,37503,2,0,1,5,693,1271,131,24,1408,0,28,0,108,788,924,147,10,19,0,0,0,0,0,5,0,8,0,0,16,0,0,0,11,0,0,0,0
1931-04,39986,0,0,0,11,615,1302,180,34,1323,0,30,0,98,868,900,201,15,19,0,0,0,0,0,4,0,10,0,0,18,0,0,0,11,0,0,0,0
1931-05,43806,1,0,0,5,678,1619,238,37,1537,0,33,0,150,1010,1003,204,2,25,0,0,0,0,0,7,0,9,0,0,27,0,0,0,13,0,0,0,0
1931-06,47302,2,0,0,10,919,1627,174,38,1584,0,52,0,168,1171,1169,246,6,21,0,0,0,0,1,8,0,16,0,0,29,0,0,0,12,0,0,0,0
1931-07,37271,3,0,2,9,741,1146,187,69,1412,0,14,0,118,964,899,221,8,16,0,0,0,0,0,11,0,17,0,0,17,0,2,3,12,0,0,0,0
1931-08,36724,1,0,1,9,742,1151,174,40,1214,0,16,0,129,916,921,209,2,25,0,0,0,0,0,8,0,1,0,0,24,0,0,2,9,0,0,0,0
1931-09,38864,2,0,0,13,763,1299,190,47,1382,0,21,0,155,975,895,151,8,23,0,0,0,0,0,10,0,7,0,0,20,0,1,2,13,0,0,0,0
1931-10,44349,4,0,2,11,809,1438,165,96,1844,0,18,0,169,1069,987,179,3,26,0,0,1,0,0,6,0,6,0,0,26,0,1,1,19,0,0,0,0
1931-11,39355,0,0,0,8,805,1453,168,61,1547,2,22,0,149,965,914,203,6,19,0,0,0,1,1,9,0,7,1,0,34,0,1,2,11,0,0,0,0
1931-12,59412,5,0,2,27,1463,2304,324,188,2548,2,56,0,276,1669,1751,470,21,49,0,0,0,0,1,46,0,24,1,0,43,0,1,4,17,0,0,0,0
