key,nbre_articles,inflation,disinflation,inflationary,deflation,prices,cost,wages,currency,money,devaluation,recession,stagflation,economy,market,increase,decrease,cpi,price level,wage growth,economic downturn,monetary policy,cost increase,cost reduction,market prices,inflation rate,interest rates,price stability,consumption basket,purchasing power,consumer price index,rise in prices,fall in prices,cost of living,inflation expectations,money supply growth,central bank policy,economic price adjustments
1960-01,32837,27,0,22,0,565,1562,90,36,1031,1,32,0,254,563,928,58,6,14,0,1,1,5,0,6,0,56,8,0,5,3,1,0,28,0,0,0,0
1960-02,22113,8,0,5,1,288,969,60,8,730,1,11,0,135,388,600,42,1,2,0,0,2,1,0,6,0,31,0,0,6,0,0,0,17,0,0,0,0
1960-03,28237,11,0,8,1,341,1373,46,31,864,1,18,0,140,455,594,45,7,5,0,1,2,0,1,3,0,33,4,0,7,1,0,0,18,0,0,0,0
1960-04,32544,6,0,5,2,396,1445,46,29,866,1,24,0,159,482,642,30,3,3,0,0,0,0,1,6,0,18,4,0,3,3,0,0,15,0,0,0,0
1960-05,31474,7,0,7,1,375,1334,42,30,872,0,16,0,160,430,603,39,5,3,0,0,0,1,2,5,0,24,2,0,0,3,2,0,9,0,0,0,0
1960-06,32122,6,0,6,1,354,1437,64,23,953,1,18,0,147,451,671,56,4,4,0,0,2,1,1,5,0,12,2,0,7,2,0,0,21,0,0,0,0
1960-07,30586,10,0,5,4,397,1239,68,23,809,0,22,0,220,472,565,39,7,1,0,0,2,0,0,4,0,26,1,0,4,6,1,0,11,0,0,0,0
1960-08,31147,6,0,4,2,324,1292,52,17,837,0,27,0,159,424,652,60,3,2,0,0,2,2,1,3,0,12,0,0,4,3,1,0,8,0,0,0,0
1960-09,31427,5,0,4,3,412,1380,86,24,852,2,42,0,210,506,657,54,7,1,0,0,0,1,1,6,0,19,2,0,8,1,0,0,13,0,0,0,0
1960-10,27896,8,0,6,1,350,1426,58,38,846,4,70,0,246,459,622,38,3,3,0,0,5,3,2,4,0,16,2,0,6,3,0,0,15,0,0,0,0
1960-11,16449,5,0,5,0,195,769,24,23,426,2,30,0,108,253,337,29,1,1,0,1,1,0,1,1,0,8,2,0,1,0,0,0,4,0,0,0,0
1960-12,27718,1,0,1,0,414,1318,43,36,776,0,30,0,150,429,626,56,7,0,0,1,1,0,2,3,0,15,0,0,3,0,0,0,7,0,0,0,0
1961-01,29151,7,0,4,0,420,1408,66,50,860,7,85,0,283,441,850,52,4,1,0,0,2,1,1,2,0,19,2,0,12,3,1,0,13,0,0,0,0
1961-02,26739,6,0,6,0,378,1451,70,29,865,4,130,0,267,411,678,39,4,3,0,0,2,0,0,1,0,28,11,0,7,2,0,0,16,0,0,0,0
1961-03,32259,7,0,5,1,389,1663,83,39,1047,2,90,0,215,470,795,47,3,4,0,1,1,1,0,6,0,27,1,0,3,0,0,0,9,0,0,0,0
1961-04,31848,6,0,5,0,363,1427,75,18,942,0,69,0,209,474,722,48,6,9,0,0,0,0,3,4,0,13,0,0,6,1,0,0,14,0,0,0,0
1961-05,31642,2,0,2,0,384,1501,59,24,938,0,37,0,178,464,597,48,8,4,0,0,0,0,3,0,0,28,0,0,4,2,0,0,5,0,0,0,0
1961-06,30510,13,0,11,1,390,1393,73,27,928,2,48,0,179,465,640,42,4,0,0,0,2,1,1,4,0,20,0,0,7,2,1,0,5,0,1,0,0
1961-07,27794,17,0,15,0,360,1326,81,38,923,1,28,0,191,414,677,46,6,0,0,0,1,1,2,2,0,12,2,0,2,3,0,0,17,0,0,0,0
1961-08,28064,10,0,10,2,316,1184,58,51,929,1,24,0,170,429,626,40,1,0,0,0,1,0,2,3,0,15,1,0,2,2,2,0,10,0,0,0,0
1961-09,25532,11,0,10,1,312,1116,48,18,685,0,21,0,139,358,549,41,6,1,0,0,0,1,0,1,0,8,5,0,5,0,1,0,4,0,0,0,0
1961-10,16732,6,0,4,0,171,789,49,14,435,2,12,0,109,256,324,18,2,2,0,0,0,0,1,0,0,5,2,0,1,0,0,0,4,0,0,0,0
1961-11,27473,6,0,5,0,340,1195,50,27,692,1,17,0,158,467,581,40,4,2,0,0,1,0,1,5,0,7,1,0,6,1,0,0,3,0,0,0,0
1961-12,31332,6,0,4,2,434,1444,83,23,847,1,31,0,177,559,606,42,5,3,0,0,0,0,0,2,0,25,4,0,9,1,0,0,2,0,0,0,0
1962-01,29075,16,0,14,0,420,1499,92,34,953,3,67,0,281,540,940,56,4,7,0,0,3,0,1,1,0,22,9,0,19,2,0,0,8,0,0,0,0
1962-02,12347,2,0,2,0,114,465,47,5,314,0,4,0,77,210,252,20,1,3,0,0,0,0,0,0,0,9,1,0,5,3,0,0,2,0,0,0,0
1962-03,16160,6,0,4,1,158,688,24,15,483,1,19,0,108,257,356,21,4,1,0,0,1,0,1,1,0,12,0,0,0,1,0,0,4,0,0,0,0
1962-04,31625,46,0,43,0,548,1400,86,36,903,0,27,0,235,568,837,39,2,4,0,0,0,8,2,6,0,17,20,0,0,2,3,1,17,0,0,0,0
1962-05,37581,40,0,38,2,502,1556,123,50,1096,7,46,0,295,759,789,40,8,7,0,0,0,0,0,10,0,20,7,0,5,0,0,0,11,0,0,0,0
1962-06,12824,2,0,2,0,145,480,19,12,325,2,9,0,117,262,269,11,5,0,0,0,0,1,0,1,0,3,0,0,1,2,0,0,5,0,0,0,0
1962-07,14042,1,0,1,0,167,552,28,10,428,0,11,0,134,255,319,19,4,0,0,0,0,0,1,3,0,7,1,0,2,0,0,0,4,0,0,0,0
1962-08,20606,10,0,8,0,226,797,43,18,589,3,30,0,147,341,408,28,4,1,0,0,0,1,0,5,0,7,1,0,4,2,0,0,16,0,0,0,0
1962-09,36439,5,0,4,6,513,1525,63,53,943,7,23,0,255,680,776,31,5,2,0,0,2,2,0,10,0,13,4,0,5,1,0,0,15,0,0,0,0
1962-10,19848,0,0,0,0,230,895,41,19,590,0,10,0,163,343,417,22,3,6,0,0,1,0,0,1,0,7,2,0,2,4,0,0,15,0,0,0,0
1962-11,14485,2,0,2,2,150,567,36,12,453,0,4,0,122,268,279,20,1,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,3,0,0,0,0
1962-12,19692,2,0,2,1,241,694,38,16,544,2,6,0,109,306,417,27,2,2,0,0,0,0,0,1,0,3,0,0,8,1,0,0,6,0,0,0,0
1963-01,33687,24,0,22,2,455,1430,98,68,1066,2,45,0,374,711,990,52,5,4,0,1,2,4,1,0,0,20,9,0,16,0,0,0,18,0,0,0,0
1963-02,24197,8,0,7,0,297,1013,62,25,736,0,18,0,207,441,575,41,10,2,0,0,4,0,1,0,0,16,1,0,7,0,0,0,12,0,0,0,0
1963-03,16675,2,0,1,0,155,665,40,15,521,0,14,0,132,301,331,18,5,1,0,0,0,0,0,5,0,3,0,0,7,2,0,0,4,0,0,0,0
1963-04,24050,6,0,5,0,327,1166,43,27,755,1,14,0,217,420,520,23,3,1,0,0,0,1,0,0,0,4,4,0,5,1,2,0,5,0,0,0,0
1963-05,38708,12,0,9,0,487,1581,89,52,1056,2,25,0,289,656,770,55,3,2,0,1,2,1,4,2,0,21,2,0,4,4,1,0,19,0,0,0,0
1963-06,11721,0,0,0,0,84,318,22,8,285,0,6,0,62,178,161,12,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0
1963-07,9279,1,0,0,0,86,322,23,11,238,0,5,0,63,188,185,13,1,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0
1963-08,13447,2,0,1,0,118,476,34,12,378,0,3,0,69,219,259,19,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0
1963-09,16350,0,0,0,0,167,619,32,15,410,0,14,0,97,278,342,29,6,1,0,0,0,0,0,1,0,5,1,0,6,0,0,0,6,0,0,0,0
1963-10,12095,0,0,0,0,111,424,24,4,301,2,4,0,67,213,249,27,10,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0
1963-11,11295,4,0,2,0,85,391,24,6,314,0,0,0,58,164,218,21,2,4,0,0,0,0,1,2,0,1,0,0,3,1,0,0,3,0,0,0,0
1963-12,15355,3,0,2,0,163,501,27,11,427,2,4,0,128,306,298,26,4,1,0,0,0,0,1,1,0,5,0,0,4,1,0,0,3,0,0,0,0
