key,nbre_articles,inflation,disinflation,inflationary,deflation,prices,cost,wages,currency,money,devaluation,recession,stagflation,economy,market,increase,decrease,cpi,price level,wage growth,economic downturn,monetary policy,cost increase,cost reduction,market prices,inflation rate,interest rates,price stability,consumption basket,purchasing power,consumer price index,rise in prices,fall in prices,cost of living,inflation expectations,money supply growth,central bank policy,economic price adjustments
1940-01,40090,4,0,3,1,778,1557,184,81,1460,1,36,0,242,814,1300,181,8,10,0,0,0,0,0,5,0,11,0,0,27,0,1,0,11,0,0,0,0
1940-02,41579,3,0,2,1,760,1534,177,83,1442,1,33,0,234,812,1203,160,7,5,0,0,0,0,2,3,0,10,0,0,23,0,1,0,8,0,0,0,0
1940-03,47118,0,0,0,1,852,1769,198,75,1482,1,42,0,233,871,1218,203,9,4,0,0,1,0,0,6,0,15,0,0,18,0,1,0,7,0,0,0,0
1940-04,44607,2,0,1,0,802,1622,154,88,1280,1,15,0,195,756,1060,118,14,7,0,0,0,0,0,1,0,10,0,0,18,0,2,0,5,0,0,0,0
1940-05,43840,3,0,2,2,818,1879,216,53,1304,2,17,0,208,806,1154,116,8,5,0,0,1,0,0,3,0,8,0,0,10,0,1,0,15,0,0,0,0
1940-06,37521,3,0,3,3,813,1567,130,44,1039,0,11,0,167,845,1021,100,5,11,0,0,0,0,0,1,0,8,0,0,10,0,0,0,11,0,0,0,0
1940-07,37067,2,0,2,2,739,1415,114,71,1019,2,8,0,157,824,1005,119,5,4,0,0,0,0,0,7,0,15,0,0,14,0,4,0,5,0,0,0,0
1940-08,38612,2,0,2,2,687,1323,113,38,1032,0,15,0,146,762,1019,112,5,5,0,0,0,1,0,4,0,5,0,0,13,0,2,0,14,0,0,0,0
1940-09,36262,0,0,0,1,688,1314,97,30,902,0,12,0,135,624,893,106,4,5,0,0,0,0,0,2,0,4,1,0,19,0,1,0,9,0,0,0,0
1940-10,41300,0,0,0,2,629,1516,140,43,1062,1,10,0,185,684,944,85,5,2,0,0,0,1,1,3,0,8,0,0,14,0,3,0,14,0,0,0,0
1940-11,40277,7,0,4,2,644,1324,142,31,979,1,28,0,130,711,923,88,2,9,0,0,1,0,0,6,0,16,0,0,16,0,0,0,4,0,0,0,0
1940-12,48389,6,0,4,2,899,1719,166,75,1368,1,42,0,181,794,1243,147,13,2,0,0,0,0,1,2,0,12,0,0,10,0,0,0,14,0,0,0,0
1941-01,52910,16,0,10,4,1030,1998,207,71,1505,5,21,0,252,959,1603,154,7,15,0,0,1,0,0,6,0,27,2,0,25,0,3,0,21,0,0,0,0
1941-02,51943,2,0,2,0,1006,2045,234,54,1450,0,18,0,172,1017,1376,125,7,7,0,0,0,2,0,2,0,12,1,0,12,0,1,0,17,0,0,0,0
1941-03,52367,6,0,6,0,983,2003,228,52,1547,0,21,0,178,884,1548,110,10,6,0,0,0,1,0,6,0,13,0,0,22,0,4,0,24,0,0,0,0
1941-04,54419,11,0,8,0,1190,2077,305,64,1409,3,40,0,198,997,1535,111,9,16,0,0,0,2,0,4,0,3,3,0,16,0,3,0,41,0,0,0,0
1941-05,55012,8,0,6,3,1073,1999,327,57,1381,3,37,0,175,1027,1502,102,6,11,0,0,1,1,0,6,0,6,1,0,22,0,5,0,19,0,0,0,0
1941-06,50556,7,0,7,2,1047,1800,292,63,1178,11,29,0,163,901,1394,89,7,10,0,0,0,3,0,3,0,9,3,0,17,0,7,0,37,0,0,0,0
1941-07,54330,22,0,16,3,1244,2065,286,59,1495,1,9,0,225,1061,1605,126,9,18,0,0,0,3,0,2,0,7,7,0,32,0,2,0,49,0,0,0,0
1941-08,52929,32,0,27,4,1192,1946,276,59,1520,3,7,0,155,1053,1658,146,4,13,0,0,0,1,0,4,0,4,2,0,29,0,7,0,57,0,0,0,0
1941-09,51693,24,0,16,5,1136,1950,254,57,1321,2,14,0,189,961,1676,157,10,18,0,0,0,2,0,5,0,7,0,0,26,0,6,0,62,0,0,0,0
1941-10,55377,20,0,12,3,992,2155,325,72,1427,0,15,0,199,807,1418,121,19,13,0,0,0,1,0,6,0,8,1,0,28,0,6,0,71,0,0,0,0
1941-11,55338,27,0,18,3,1079,2136,340,47,1449,1,18,0,195,791,1463,108,10,19,0,0,0,2,0,9,0,9,5,0,28,0,6,0,79,0,0,0,0
1941-12,50326,6,0,2,0,830,1867,226,30,1352,0,30,0,164,673,1239,103,9,6,0,0,1,2,0,5,0,3,1,0,12,0,6,0,40,0,0,0,0
1942-01,45487,24,0,18,5,931,1798,238,71,1272,0,9,0,217,751,1516,123,13,25,0,0,0,2,0,12,0,12,0,0,22,0,4,0,65,0,0,0,0
1942-02,34607,12,0,9,1,625,1437,173,49,1045,0,7,0,154,651,1089,108,7,6,0,0,0,2,0,10,0,8,0,0,12,0,6,0,43,0,0,0,0
1942-03,44819,20,0,13,4,927,1808,286,33,1224,1,11,0,198,817,1400,110,13,12,0,0,0,3,0,17,0,3,0,0,21,0,6,0,49,0,0,0,0
1942-04,39888,27,0,12,2,782,1591,284,41,1027,2,20,0,170,695,1174,102,3,16,0,0,1,1,0,5,0,4,0,0,25,0,4,0,60,0,0,0,0
1942-05,40680,31,0,13,1,715,1637,251,43,960,0,9,0,188,731,1151,108,7,16,0,0,0,0,0,11,0,4,1,0,17,0,0,0,56,0,0,0,0
1942-06,46304,15,0,9,2,795,1754,209,57,1094,0,21,0,180,869,1233,142,7,17,0,0,0,1,0,6,0,4,0,0,15,0,3,0,49,0,0,0,0
1942-07,46925,76,0,37,3,930,1821,316,51,1142,1,18,0,156,907,1394,159,9,11,0,0,1,7,0,5,0,6,0,0,36,0,3,0,101,0,0,0,0
1942-08,47407,40,0,17,1,797,1692,319,43,1033,0,5,0,127,843,1316,175,9,9,0,0,0,1,0,5,0,2,1,0,21,0,3,0,72,0,0,0,0
1942-09,47170,103,0,16,1,897,1810,497,53,1010,0,13,0,202,726,1328,135,8,16,0,0,0,6,0,8,0,1,1,0,34,0,3,0,143,0,0,0,0
1942-10,50484,80,0,21,0,782,1976,361,54,1164,0,19,0,201,819,1475,173,4,13,0,0,0,0,0,4,0,4,0,0,26,0,4,0,88,0,0,0,0
1942-11,41084,24,0,12,2,532,1382,268,39,899,0,15,0,159,586,1095,108,11,5,0,0,0,1,0,0,0,0,0,0,16,0,2,0,40,0,0,0,0
1942-12,39068,32,0,13,1,662,1325,299,44,960,0,17,0,167,615,1159,153,9,11,0,0,0,3,0,4,0,3,0,0,12,0,3,0,60,0,0,0,0
1943-01,40546,16,0,10,0,660,1472,315,42,1135,2,17,0,196,729,1283,161,13,14,0,0,0,3,0,3,0,7,0,0,13,0,5,0,53,0,0,0,0
1943-02,26611,29,0,21,1,532,943,212,19,726,1,6,0,134,576,842,76,4,7,0,0,0,2,0,3,0,4,0,0,9,0,0,0,31,0,0,0,0
1943-03,34483,13,0,9,2,673,1316,322,24,941,1,6,0,161,824,1195,108,6,5,0,0,0,3,0,5,0,2,0,0,11,0,4,0,49,0,0,0,0
1943-04,39313,57,0,30,5,836,1577,401,68,1097,7,23,0,180,916,1388,107,6,7,0,0,0,1,1,8,0,8,0,0,35,0,1,0,88,0,0,0,0
1943-05,42983,32,0,20,0,898,1575,423,33,1007,0,17,0,161,801,1260,83,16,11,0,0,0,0,0,8,0,8,0,0,22,0,3,0,91,0,0,0,0
1943-06,39800,44,0,24,2,788,1480,394,34,994,0,27,0,167,770,1156,136,6,5,0,0,1,2,0,7,0,2,0,0,29,0,3,0,72,0,0,0,0
1943-07,35216,35,0,17,4,854,1267,275,44,842,1,6,0,114,703,1124,114,6,8,0,0,1,4,0,4,0,2,0,0,20,0,5,0,80,0,0,0,0
1943-08,48507,19,0,15,3,1069,1652,343,70,1261,0,10,0,151,1001,1355,145,12,9,0,0,1,0,1,5,0,2,0,0,28,0,2,0,66,0,0,0,0
1943-09,46547,11,0,6,1,854,1524,348,44,1264,3,4,0,138,800,1238,132,23,7,0,0,1,3,1,6,0,4,1,0,9,0,3,0,53,0,0,0,0
1943-10,39852,20,0,14,4,748,1405,307,59,991,2,5,0,162,730,1041,103,9,7,0,0,1,0,0,5,0,4,0,0,13,0,1,0,49,0,0,0,0
1943-11,38733,42,0,30,5,853,1490,267,49,1008,0,6,0,176,770,1052,86,14,5,0,0,0,2,0,8,0,3,0,0,19,0,1,0,68,0,0,0,0
1943-12,34609,29,0,16,5,735,1210,244,27,878,2,32,0,122,602,962,85,9,5,0,0,0,0,2,9,0,3,0,0,13,0,0,0,30,0,0,0,0
1944-01,32655,16,0,12,2,649,1274,267,54,882,1,7,0,135,578,910,84,9,7,0,0,0,2,0,7,0,4,0,0,13,0,1,1,42,0,0,0,0
1944-02,34757,22,0,12,1,530,1284,262,36,948,1,7,0,130,604,918,87,6,7,0,0,0,0,0,7,0,1,0,0,6,0,1,0,45,0,0,0,0
1944-03,37895,15,0,9,2,658,1325,287,39,1026,0,9,0,133,731,990,106,12,4,0,0,0,0,1,4,0,8,0,0,6,0,3,0,46,0,0,0,0
1944-04,30849,5,0,4,1,566,1034,293,55,631,0,8,0,122,587,739,77,17,5,0,0,0,0,1,1,0,1,0,0,11,0,5,0,35,0,0,0,0
1944-05,37638,7,0,6,1,572,1339,322,43,824,0,13,0,155,676,942,93,14,4,0,0,0,2,1,0,0,3,1,0,17,0,3,0,26,0,0,0,0
1944-06,36459,12,0,9,1,685,1285,247,40,809,0,15,0,150,603,831,71,9,5,0,0,1,0,0,10,0,6,0,0,12,0,2,0,24,0,0,0,0
1944-07,33753,6,0,6,1,636,1160,236,58,820,1,10,0,148,557,791,70,6,6,0,0,1,0,0,5,0,3,0,0,14,0,0,0,18,0,0,0,0
